City,Region,Country,Latitude,Longitude,TimeZone,LocalTimeEpoch,LocalTime,LastUpdatedEpoch,LastUpdated,Temperature_C,Temperature_F,IsDay,ConditionText,ConditionIcon,WindMPH,WindKPH,WindDegree,WindDir,PressureMB,PressureIn,PrecipMM,PrecipIn,Humidity,Cloud,FeelsLike_C,FeelsLike_F,VisibilityKM,VisibilityMiles,UV,GustMPH,GustKPH
Aganan,Iloilo,Philippines,10.78,122.53,Asia/Manila,1699737582,2023-11-12 5:19,1699737300,2023-11-12 05:15,25.2,77.4,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,6.9,11.2,17,NNE,1011.0,29.86,0.0,0.0,88,36,27.9,82.2,10.0,6.0,1.0,12.1,19.5
Aihua,Yunnan,China,24.42,100.1,Asia/Shanghai,1699737582,2023-11-12 5:19,1699737300,2023-11-12 05:15,13.1,55.6,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,282,WNW,1020.0,30.11,0.0,0.0,91,13,13.1,55.6,10.0,6.0,1.0,2.3,3.6
Ailan,T'ai-wan,Taiwan,23.97,120.93,Asia/Taipei,1699737581,2023-11-12 5:19,1699737300,2023-11-12 05:15,20.0,68.0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,10.5,16.9,20,NNE,1018.0,30.06,0.0,0.0,100,50,20.0,68.0,10.0,6.0,1.0,5.1,8.2
Aksu,Xinjiang,China,41.12,80.26,Asia/Shanghai,1699737582,2023-11-12 5:19,1699737300,2023-11-12 05:15,4.8,40.7,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.6,5.8,56,ENE,1029.0,30.4,0.0,0.0,51,8,3.6,38.5,10.0,6.0,1.0,7.5,12.1
Altay,Xinjiang,China,47.87,88.12,Asia/Shanghai,1699737583,2023-11-12 5:19,1699737300,2023-11-12 05:15,-6.5,20.3,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,6.3,10.1,51,NE,1038.0,30.64,0.0,0.0,82,45,-11.1,12.1,10.0,6.0,1.0,13.2,21.2
Anda,Heilongjiang,China,46.4,125.32,Asia/Shanghai,1699737582,2023-11-12 5:19,1699737300,2023-11-12 05:15,-16.8,1.7,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.9,7.9,258,WSW,1032.0,30.48,0.0,0.0,91,11,-22.5,-8.4,10.0,6.0,1.0,10.3,16.6
Anguo,Jiangsu,China,34.83,116.82,Asia/Shanghai,1699737539,2023-11-12 5:18,1699737300,2023-11-12 05:15,1.7,35.1,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,6.3,10.1,347,NNW,1036.0,30.58,0.0,0.0,74,7,-1.3,29.7,10.0,6.0,1.0,11.4,18.4
Ankang,Shaanxi,China,32.68,109.02,Asia/Shanghai,1699737582,2023-11-12 5:19,1699737300,2023-11-12 05:15,2.6,36.6,0,Cloudy,//cdn.weatherapi.com/weather/64x64/night/119.png,2.7,4.3,73,ENE,1036.0,30.6,0.0,0.0,92,73,1.6,34.9,10.0,6.0,1.0,5.1,8.2
Anlu,Hubei,China,31.26,113.68,Asia/Shanghai,1699737583,2023-11-12 5:19,1699737300,2023-11-12 05:15,4.2,39.5,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,10.3,16.6,359,N,1035.0,30.56,0.0,0.0,86,41,0.5,32.8,10.0,6.0,1.0,15.5,24.9
Anping,Hunan,China,26.56,113.37,Asia/Shanghai,1699737583,2023-11-12 5:19,1699737300,2023-11-12 05:15,7.2,44.9,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,7.6,12.2,349,N,1031.0,30.43,0.05,0.0,93,100,4.8,40.7,10.0,6.0,1.0,9.7,15.6
Anqing,Anhui,China,30.51,117.05,Asia/Shanghai,1699737582,2023-11-12 5:19,1699737300,2023-11-12 05:15,8.6,47.5,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,14.3,23.0,18,NNE,1033.0,30.49,0.01,0.0,82,100,5.4,41.6,10.0,6.0,1.0,18.4,29.7
Anqiu,Shandong,China,36.43,119.19,Asia/Shanghai,1699737583,2023-11-12 5:19,1699737300,2023-11-12 05:15,-0.3,31.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,10.1,16.2,305,NW,1035.0,30.55,0.0,0.0,49,0,-5.1,22.9,10.0,6.0,1.0,18.3,29.5
Anshan,Liaoning,China,41.12,122.99,Asia/Shanghai,1699737584,2023-11-12 5:19,1699737300,2023-11-12 05:15,-6.5,20.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,5.1,8.3,340,NNW,1034.0,30.53,0.0,0.0,66,22,-10.5,13.2,10.0,6.0,1.0,7.3,11.8
Anshan,Liaoning,China,41.12,122.99,Asia/Shanghai,1699737584,2023-11-12 5:19,1699737300,2023-11-12 05:15,-6.5,20.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,5.1,8.3,340,NNW,1034.0,30.53,0.0,0.0,66,22,-10.5,13.2,10.0,6.0,1.0,7.3,11.8
Anshun,Guizhou,China,26.25,105.93,Asia/Shanghai,1699737583,2023-11-12 5:19,1699737300,2023-11-12 05:15,10.9,51.7,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,10.1,16.2,53,NE,1022.0,30.18,0.03,0.0,92,100,8.9,48.1,10.0,6.0,1.0,13.7,22.0
