City,StatusCode
Aheqi,400
Aketao,400
Alashankou,400
Atushi,400
Aweitancun,400
Baipingshan,400
Bakeshiyingcun,400
Baluntaicun,400
Banbishancun,400
Baojishi,400
Baxiangshan,400
Bazhajiemicun,400
Beichengqu,400
Beidaying,400
Beixingzhuang,400
Benbutucun,400
Benhao,400
Bijiao,400
Bugugoucun,400
Bulicun,400
Caowotan,400
Changtoushang,400
Chaohucun,400
Chaoyangdicun,400
Chedaopo,400
Chengbin,400
Chengtangcun,400
Chinggil,400
Chuanliaocun,400
Dahuaishu,400
Daijiazhuang,400
Dajiecun,400
Danihe,400
Dashouping,400
Dengshangcun,400
Dengtacun,400
Dengtalu,400
Dengtangcun,400
Diaobingshancun,400
Dijiasuoxiang,400
Dingjiagouxiang,400
Dongcha,400
Donggangli,400
Dongjiangshui,400
Dongxiaozhai,400
Dongyuancun,400
Eerguna,400
Erbaocun,400
Erjie,400
Fangchenggang,400
Fanzhao,400
Fengguangcun,400
Fengrenxu,400
Fengruncun,400
Fugangcun,400
Gandujie,400
Gaohucun,400
Gaojiayingcun,400
Guantiankan,400
Haikoucun,400
Hanmayingcun,400
Hedongcun,400
Heishanzuicun,400
Hengshuicun,400
Heshancun,400
Heyunkeng,400
Hongfengcun,400
Hongtuliang,400
Hoxut,400
Huaixiangcun,400
Huanghuajie,400
Huangxicun,400
Huaniu,400
Huchuan,400
Huilongping,400
Humayingcun,400
Huodoushancun,400
Huquan,400
Hushihacun,400
Jiajin,400
Jiangguanchi,400
Jiangjiafan,400
Jiaojiangcun,400
Jiaojiazhuang,400
Jiaoxiyakou,400
Jinku,400
Jitaicun,400
Kongjiazhuangcun,400
Kuiyibagecun,400
Lajia,400
Lakoucun,400
Langdu,400
Langrucun,400
Lanyi,400
Laojiezi,400
Liangwancun,400
Lianmuqin Kancun,400
Liantangcun,400
Lihuzhuang,400
Lingquan,400
Lishaocun,400
Lixingcun,400
Longkoucun,400
Longtaixiang,400
Luanzhou,400
Mabacun,400
Maerkang,400
Manbengtang,400
Mangdongshan,400
Mangqu,400
Mengdan,400
Mengjiacun,400
Mizhou,400
Mositai,400
Nandazhang,400
Nangandao,400
Nanpingcun,400
Nanshuicun,400
Nantingcun,400
Nanxicun,400
Nawucun,400
Niuchangqiao,400
Peyziwat,400
Pingtiancun,400
Pingtouchuanxiang,400
Puqiancun,400
Puqiancun,400
Qiaerbagecun,400
Qiantangcun,400
Qiaoyang,400
Qigexingcun,400
Qinbaling,400
Qingnian,400
Qiushanxiang,400
Quanancun,400
Reshuijie,400
Ruiming,400
Sanpaicun,400
Shalingzicun,400
Shangcaiyuan,400
Shangluhu,400
Shangtangcun,400
Shangzhuangcun,400
Shaoyu,400
Shibancun,400
Shichuanxiang,400
Shimencun,400
Shimubi,400
Shizhaobi,400
Shuangshuicun,400
Shuangxianxiang,400
Shuichecun,400
Shuilou,400
Shuinancun,400
Sihecun,400
Siliancun,400
Sungandiancun,400
Sunjiayan,400
Suohe,400
Suoluntun,400
Taihecun,400
Taisheng,400
Tangjiacun,400
Tangpingcun,400
Taozhuangcun,400
Tengyue,400
Tianningcun,400
Tiantoujiao,400
Tongchuanshi,400
Tongyangdao,400
Toqsu,400
Tuncheng,400
Uchturpan,400
Ulanhot,400
Wangjiaxian,400
Wangsicun,400
Weichanglu,400
Weifen,400
Wenxicun,400
Wulingshancun,400
Wumayingcun,400
Wutiancun,400
Xiangjiaba,400
Xiantangcun,400
Xiaozhengzhuang,400
Xibang,400
Xibeijie,400
Xieqiaocun,400
Xiluodu,400
Ximeicun,400
Xinbocun,400
Xinchangcun,400
Xingangli,400
Xinhualu,400
Xinjun,400
Xintangcun,400
Xintianfeng,400
Xinyingheyan,400
Xishancun,400
Xishancun,400
Xiushuicun,400
Xixucun,400
Xuqiaocun,400
Yangcunzai,400
Yangqingcun,400
Yangtangxu,400
Yanguancun,400
Yanshanbu,400
Yaoquan,400
Yaozhuangcun,400
Yinchengpu,400
Yingmen,400
Yingyangcun,400
Youganning,400
Yuchengcun,400
Yueyaquan,400
Yulinshi,400
Yunzhong,400
Yutiancun,400
Zhaitangcun,400
Zhangliangcun,400
Zhangshicun,400
Zhanlicun,400
Zhenbeibu,400
Zhipingxiang,400
Zhongbai,400
Zhuchangba,400
Zijinglu,400
