City,Region,Country,Latitude,Longitude,TimeZone,LocalTimeEpoch,LocalTime,LastUpdatedEpoch,LastUpdated,Temperature_C,Temperature_F,IsDay,ConditionText,ConditionIcon,WindMPH,WindKPH,WindDegree,WindDir,PressureMB,PressureIn,PrecipMM,PrecipIn,Humidity,Cloud,FeelsLike_C,FeelsLike_F,VisibilityKM,VisibilityMiles,UV,GustMPH,GustKPH
Ahus,Skane Lan,Sweden,55.92,14.28,Europe/Stockholm,1699818736,2023-11-12 20:52,1699818300,2023-11-12 20:45,5.0,41.0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,3.8,6.1,160,SSE,1007.0,29.74,0.01,0.0,100,75,3.4,38.0,10.0,6.0,1.0,7.1,11.5
Akersberga,Stockholms Lan,Sweden,59.48,18.3,Europe/Stockholm,1699818779,2023-11-12 20:52,1699818300,2023-11-12 20:45,3.0,37.4,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,10.5,16.9,320,NW,1006.0,29.71,0.04,0.0,100,75,-1.2,29.9,10.0,6.0,1.0,15.3,24.7
Alingsas,Vastra Gotaland,Sweden,57.93,12.52,Europe/Stockholm,1699818779,2023-11-12 20:52,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,5.6,9.0,40,NE,1007.0,29.74,0.0,0.0,93,75,2.2,35.9,10.0,6.0,1.0,6.9,11.1
Almhult,Kalmar Lan,Sweden,57.08,16.45,Europe/Stockholm,1699818779,2023-11-12 20:52,1699818300,2023-11-12 20:45,3.0,37.4,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,4.3,6.8,310,NW,1007.0,29.74,0.0,0.0,100,100,-0.1,31.7,10.0,6.0,1.0,10.5,17.0
Altay,Xinjiang,China,47.87,88.12,Asia/Shanghai,1699818780,2023-11-13 3:53,1699818300,2023-11-13 03:45,-4.9,23.3,0,Cloudy,//cdn.weatherapi.com/weather/64x64/night/119.png,5.1,8.3,41,NE,1033.0,30.51,0.0,0.0,71,75,-8.6,16.6,10.0,6.0,1.0,10.8,17.4
Amalner,Maharashtra,India,21.05,75.07,Asia/Kolkata,1699818780,2023-11-13 1:23,1699818300,2023-11-13 01:15,21.4,70.5,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,5.1,8.3,52,NE,1015.0,29.98,0.0,0.0,33,4,21.4,70.4,10.0,6.0,1.0,10.8,17.4
Arboga,Vastmanlands Lan,Sweden,59.4,15.83,Europe/Stockholm,1699818780,2023-11-12 20:53,1699818300,2023-11-12 20:45,1.0,33.8,0,Light snow,//cdn.weatherapi.com/weather/64x64/night/326.png,6.9,11.2,350,N,1008.0,29.77,0.04,0.0,93,75,-2.7,27.1,10.0,6.0,1.0,10.6,17.1
Arlov,Skane Lan,Sweden,55.63,13.07,Europe/Stockholm,1699818780,2023-11-12 20:53,1699818300,2023-11-12 20:45,5.0,41.0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.3,6.8,90,E,1006.0,29.71,0.14,0.01,87,0,1.9,35.4,10.0,6.0,1.0,13.2,21.2
Arvika,Varmlands Lan,Sweden,59.67,12.57,Europe/Stockholm,1699818737,2023-11-12 20:52,1699818300,2023-11-12 20:45,0.0,32.0,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,8.1,13.0,360,N,1009.0,29.8,0.0,0.0,93,100,-2.8,26.9,10.0,6.0,1.0,8.8,14.1
Astorp,Syddanmark,Denmark,55.4,9.52,Europe/Copenhagen,1699818780,2023-11-12 20:53,1699818300,2023-11-12 20:45,7.0,44.6,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.8,6.1,80,E,1005.0,29.68,0.0,0.0,93,0,5.6,42.1,10.0,6.0,1.0,8.9,14.3
Avesta,Dalarnas Lan,Sweden,60.15,16.2,Europe/Stockholm,1699818780,2023-11-12 20:53,1699818300,2023-11-12 20:45,-1.0,30.2,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,9.4,15.1,310,NW,1008.0,29.77,0.0,0.0,93,100,-5.1,22.9,10.0,6.0,1.0,10.4,16.8
Balsta,Uppsala Lan,Sweden,59.58,17.5,Europe/Stockholm,1699818779,2023-11-12 20:52,1699818300,2023-11-12 20:45,1.0,33.8,0,Light rain,//cdn.weatherapi.com/weather/64x64/night/296.png,11.9,19.1,320,NW,1005.0,29.68,0.01,0.0,100,100,-3.2,26.2,2.3,1.0,1.0,13.0,20.8
Billdal,Vastra Gotaland,Sweden,57.57,11.93,Europe/Stockholm,1699818780,2023-11-12 20:53,1699818300,2023-11-12 20:45,5.0,41.0,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,50,NE,1008.0,29.77,0.0,0.0,93,100,2.4,36.4,10.0,6.0,1.0,11.5,18.6
Bjarred,Skane Lan,Sweden,55.72,13.02,Europe/Stockholm,1699818780,2023-11-12 20:53,1699818300,2023-11-12 20:45,6.0,42.8,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,5.6,9.0,90,E,1007.0,29.74,0.18,0.01,87,100,3.0,37.4,10.0,6.0,1.0,13.6,22.0
Boden,Norrbottens Lan,Sweden,65.83,21.7,Europe/Stockholm,1699818781,2023-11-12 20:53,1699818300,2023-11-12 20:45,-8.0,17.6,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,8.1,13.0,10,N,1017.0,30.03,0.05,0.0,92,75,-15.2,4.7,10.0,6.0,1.0,17.0,27.4
Bollnas,Gavleborgs Lan,Sweden,61.35,16.37,Europe/Stockholm,1699818780,2023-11-12 20:53,1699818300,2023-11-12 20:45,-1.1,30.1,0,Moderate snow,//cdn.weatherapi.com/weather/64x64/night/332.png,7.6,12.2,336,NNW,1010.0,29.83,0.13,0.0,94,100,-5.2,22.7,5.0,3.0,1.0,9.7,15.6
Bodø Airport,Bodø,Norway,67.27,14.37,Europe/Oslo,1699818781,2023-11-12 20:53,1699818300,2023-11-12 20:45,-1.0,30.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,25.5,41.0,100,E,1013.0,29.91,0.0,0.0,55,0,-6.9,19.5,10.0,6.0,1.0,21.6,34.7
Boras,Vastra Gotaland,Sweden,57.72,12.92,Europe/Stockholm,1699818780,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,5.6,9.0,40,NE,1007.0,29.74,0.0,0.0,93,75,2.7,36.8,10.0,6.0,1.0,5.2,8.3
