City,Region,Country,Latitude,Longitude,TimeZone,LocalTimeEpoch,LocalTime,LastUpdatedEpoch,LastUpdated,Temperature_C,Temperature_F,IsDay,ConditionText,ConditionIcon,WindMPH,WindKPH,WindDegree,WindDir,PressureMB,PressureIn,PrecipMM,PrecipIn,Humidity,Cloud,FeelsLike_C,FeelsLike_F,VisibilityKM,VisibilityMiles,UV,GustMPH,GustKPH
Ahus,Skane Lan,Sweden,55.92,14.28,Europe/Stockholm,1699697266,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,130,SE,1001.0,29.56,0.01,0.0,100,100,6.9,44.5,10.0,6.0,2.0,3.1,5.0
Akersberga,Stockholms Lan,Sweden,59.48,18.3,Europe/Stockholm,1699697223,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,160,SSE,1002.0,29.59,0.0,0.0,93,25,5.3,41.6,10.0,6.0,3.0,7.6,12.2
Alingsas,Vastra Gotaland,Sweden,57.93,12.52,Europe/Stockholm,1699697266,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,38,NE,1000.0,29.53,0.01,0.0,100,75,3.9,39.1,10.0,6.0,2.0,4.4,7.0
Almhult,Kalmar Lan,Sweden,57.08,16.45,Europe/Stockholm,1699697224,2023-11-11 11:07,1699696800,2023-11-11 11:00,8.0,46.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,10,N,1002.0,29.59,0.0,0.0,93,25,7.9,46.2,10.0,6.0,2.0,3.6,5.7
Altay,Xinjiang,China,47.87,88.12,Asia/Shanghai,1699697267,2023-11-11 18:07,1699696800,2023-11-11 18:00,-0.7,30.8,1,Light snow,//cdn.weatherapi.com/weather/64x64/day/326.png,2.5,4.0,151,SSE,1038.0,30.65,0.04,0.0,88,87,-1.8,28.8,10.0,6.0,1.0,2.8,4.6
Amalner,Maharashtra,India,21.05,75.07,Asia/Kolkata,1699697267,2023-11-11 15:37,1699696800,2023-11-11 15:30,32.9,91.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2.7,4.3,219,SW,1012.0,29.9,0.0,0.0,29,8,32.1,89.9,10.0,6.0,8.0,3.5,5.7
Arboga,Vastmanlands Lan,Sweden,59.4,15.83,Europe/Stockholm,1699697267,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,2.5,4.0,60,ENE,1001.0,29.56,0.07,0.0,93,100,5.5,41.9,2.0,1.0,2.0,3.8,6.1
Arlov,Skane Lan,Sweden,55.63,13.07,Europe/Stockholm,1699697266,2023-11-11 11:07,1699696800,2023-11-11 11:00,8.0,46.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.3,6.8,130,SE,1000.0,29.53,0.26,0.01,93,75,6.0,42.7,10.0,6.0,2.0,9.9,16.0
Arvika,Varmlands Lan,Sweden,59.67,12.57,Europe/Stockholm,1699697224,2023-11-11 11:07,1699696800,2023-11-11 11:00,3.0,37.4,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.6,9.0,340,NNW,1001.0,29.56,0.13,0.01,100,100,-0.1,31.9,0.9,0.0,1.0,10.6,17.1
Astorp,Syddanmark,Denmark,55.4,9.52,Europe/Copenhagen,1699697267,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,10,N,999.0,29.5,0.0,0.0,93,75,6.6,43.9,6.0,3.0,2.0,3.6,5.9
